Timestamp,Username,Roll number,Which semester are you studying in?,Which stream are you in,Which school did you pass SLC from?,Which school did you pass +2 from?,What was your SLC percentage?,What was your +2 percentage?,What was your KUCAT score?,What were your GPAs in all semester?(answer using spaces),Have you cleared all your papers you have appeared in?,How seriously do you take your pre examination breaks?,What is your hours of self study per day?,How much time do you spend in googling study materials?,"Do you have a personal hobby?(Don't answer Yes, if you compromise studying for other recreational activities.) ",Do you do your assignment yourself?,How is your class attendance?,How do you do your assignments? (You may choose more than one option),What are your parents' professions?,How interactive and attentive are you during lecture?( 5 being very attentive ) ,What study materials do you rely on?,How often do you take online courses?,Where are you currently staying?,Is there any senior or junior member in your family also studying Computer Science?,Do you have any mentors other than family members who can help you in your studies?,Do you have any family problems?,Do you have any health problems?
2017/06/15 10:16:38 PM GMT+5:45,,26,6,CE,B,A,84,77.9,1075,3.092,No,I take it seriously,less than one hour,less than one hour,yes,Of selected subjects only,very good,Based on the text book;Surf the internet,b,3,"All A,B and C",regularly,KU area,No,No,No,No
2017/06/15 10:52:28 PM GMT+5:45,,10,6,CE,B,A,88,78,1000,3.0175,No,I take it seriously,more than one hour,more than one hour,yes,Yes,average,Text book and reference books;Surf the internet,g,3,Books,never,KU area,No,No,Yes,Yes
2017/06/16 1:19:37 PM GMT+5:45,,36,2,CS,B,A,79,60,643,1.9,Yes,I study occasionally,less than one hour,less than one hour,occasionally i engage myself into something,No,very good,Based on the text book,p,3,Books,never,KU area,No,,Yes,No
2017/06/16 8:18:14 PM GMT+5:45,,160049,2,CS,A,A,86.2,76.10%,701,3.14,Yes,I take it seriously,less than one hour,less than one hour,occasionally i engage myself into something,Of selected subjects only,average,Based on the text book;Surf the internet,p,2,Teachers' notes,never,KU area,Yes,No,Yes,No
2017/06/16 8:27:12 PM GMT+5:45,,50,2,CS,A,A,75,64,700,2.4,Yes,I take it seriously,more than one hour,less than one hour,occasionally i engage myself into something,Of selected subjects only,very good,Surf the internet;Visit the photocopy kiosk,b,3,"All A,B and C",never,KU area,No,No,Yes,No
2017/06/16 8:36:00 PM GMT+5:45,,11,2,CS,A,A,79.75,67,463,2.5,No,I study occasionally,more than one hour,less than one hour,occasionally i engage myself into something,Of selected subjects only,average,Surf the internet;Visit the photocopy kiosk,g,2,"All A,B and C",never,KU area,No,,No,No
2017/06/16 8:48:00 PM GMT+5:45,,2,2,CS,B,A,75.625,80.8,1079,3.14,Yes,I study occasionally,more than one hour,less than one hour,yes,Of selected subjects only,very good,Visit the photocopy kiosk,p,3,"All A,B and C",never,KU area,No,No,Yes,No
2017/06/16 9:10:10 PM GMT+5:45,,56,2,CS,A,A,82.38,66.5,559,2.4,No,I take it seriously,more than one hour,less than one hour,occasionally i engage myself into something,Yes,average,Text book and reference books;Surf the internet,g,2,Teachers' notes,never,Other,No,,No,No
2017/06/16 10:11:26 PM GMT+5:45,,19,2,CS,B,B,81.25,65,737,2.5,No,I take it as a vacation,less than one hour,less than one hour,occasionally i engage myself into something,No,average,Based on the text book;Visit the photocopy kiosk,b,2,Notes of classmates,never,Other,No,no,No,No
2017/06/17 7:17:46 AM GMT+5:45,,40,2,CS,B,B,83,73,758,2.75,Yes,I take it seriously,less than one hour,less than one hour,occasionally i engage myself into something,Yes,very good,Visit the photocopy kiosk;Consult with seniors,b,3,Teachers' notes,never,Other,No,,No,No
2017/06/17 9:45:47 AM GMT+5:45,,59,6,CE,A,A,87.5,78.5,1095,3.42,Yes,I study occasionally,less than one hour,more than one hour,yes,Yes,average,Based on the text book;Text book and reference books;Surf the internet,b,4,"All A,B and C",never,Other,Yes,,No,Yes
2017/06/17 2:51:31 PM GMT+5:45,,10,2,CS,A,A,82.35,72.8,624,1.5,No,I study occasionally,less than one hour,less than one hour,yes,No,average,Surf the internet,p,2,"All A,B and C",never,KU area,Yes,yes,No,No
2017/06/17 10:08:45 PM GMT+5:45,,20,2,CS,B,A,77,69,587,2.5,No,I study occasionally,more than one hour,less than one hour,no,Of selected subjects only,average,Text book and reference books;Surf the internet,b,3,Teachers' notes,never,KU area,No,,Yes,No
2017/06/18 9:31:21 AM GMT+5:45,,15,2,CS,B,A,81.14,71.1,736,2.77,Yes,I study occasionally,more than one hour,less than one hour,no,Yes,very good,Based on the text book;Text book and reference books;Surf the internet,b,4,"All A,B and C",never,KU area,No,no,No,No
2017/06/18 6:25:29 PM GMT+5:45,,57,6,CE,B,A,80.1,83,1317,3.882,Yes,I take it seriously,less than one hour,more than one hour,yes,Yes,average,Based on the text book,b,4,"All A,B and C",regularly,KU area,No,yes,No,No
2017/06/18 9:34:05 PM GMT+5:45,,25,2,CS,B,A,85.25,71,828,3,Yes,I study occasionally,less than one hour,less than one hour,yes,Of selected subjects only,very good,Based on the text book;Surf the internet,p,4,"All A,B and C",never,KU area,No,no,Yes,No
2017/06/19 7:06:57 PM GMT+5:45,,47,6,CE,B,B,87,81,961,3.39,Yes,I study occasionally,less than one hour,less than one hour,occasionally i engage myself into something,Yes,very good,Text book and reference books;Surf the internet,p,3,"All A,B and C",never,KU area,No,,No,No
2017/06/19 7:08:27 PM GMT+5:45,,56,6,CE,B,A,85.86,76,928,3.602,Yes,I take it seriously,less than one hour,less than one hour,occasionally i engage myself into something,Yes,very good,Based on the text book;Surf the internet,p,3,"All A,B and C",never,Other,No,,No,No
2017/06/19 7:11:01 PM GMT+5:45,,43,6,CE,B,A,91.8,86.5,1130,3.692,Yes,I take it seriously,more than one hour,more than one hour,yes,Of selected subjects only,very good,Surf the internet,p,3,Teachers' notes,never,Other,No,No,No,No
2017/06/19 7:12:14 PM GMT+5:45,,51,6,CE,B,B,79.88,78.60%,942,3.0725,No,I take it seriously,less than one hour,less than one hour,occasionally i engage myself into something,Of selected subjects only,very good,Based on the text book;Surf the internet,b,3,"All A,B and C",never,KU area,No,,No,No
2017/06/19 7:13:21 PM GMT+5:45,,46,6,CE,A,A,82.88,80%,1025,3.35,Yes,I study occasionally,more than one hour,less than one hour,no,Of selected subjects only,very good,Text book and reference books;Surf the internet,b,4,"All A,B and C",never,KU area,No,No,No,No
2017/06/19 7:26:58 PM GMT+5:45,,64,6,CE,B,A,86.15,76,977,2.842,Yes,I study occasionally,less than one hour,more than one hour,yes,Of selected subjects only,average,Surf the internet,g,4,"All A,B and C",occasionally,KU area,No,NO,Yes,No
2017/06/19 7:29:53 PM GMT+5:45,,38,6,CE,A,A,82,79,1020,3.22,Yes,I study occasionally,less than one hour,more than one hour,yes,Of selected subjects only,very good,Based on the text book;Surf the internet,p,3,Books,never,Other,No,No,No,No
2017/06/19 7:31:08 PM GMT+5:45,,31233,6,CE,A,A,88,76,941,3.266,Yes,I take it seriously,more than one hour,less than one hour,occasionally i engage myself into something,Of selected subjects only,average,Surf the internet,h,4,"All A,B and C",never,KU area,No,,No,No
2017/06/19 7:31:39 PM GMT+5:45,,21,6,CE,A,A,86.68,80,1024,3.375,No,I study occasionally,less than one hour,less than one hour,occasionally i engage myself into something,Of selected subjects only,very good,Text book and reference books;Surf the internet,p,4,Teachers' notes,occasionally,KU area,No,No,No,Yes
2017/06/19 7:39:28 PM GMT+5:45,,35,6,CE,B,A,76.13,75.40%,1101,3.344,Yes,I study occasionally,more than one hour,less than one hour,occasionally i engage myself into something,Yes,average,Text book and reference books;Surf the internet,b,3,Books,never,Other,No,,Yes,No
2017/06/19 7:47:31 PM GMT+5:45,,30,6,CE,B,B,80,78,1015,3.45,Yes,I study occasionally,less than one hour,more than one hour,yes,Yes,average,Based on the text book;Surf the internet,b,4,Books,never,KU area,No,,No,No
2017/06/19 8:07:59 PM GMT+5:45,,33,6,CE,A,A,84,78,1010,3.433,Yes,I study occasionally,less than one hour,more than one hour,occasionally i engage myself into something,Sometimes,very good,Text book and reference books;Surf the internet,p,3,"All A,B and C",never,KU area,No,,No,No
2017/06/19 8:10:16 PM GMT+5:45,,36,6,CE,B,B,85,73%,1107,3.54,Yes,I study occasionally,more than one hour,more than one hour,occasionally i engage myself into something,Of selected subjects only,average,Surf the internet,p,3,"All A,B and C",never,Other,No,no,No,No
2017/06/19 8:43:49 PM GMT+5:45,,2,6,CE,B,A,91.5,81.8,1179,3.624,Yes,I take it seriously,more than one hour,more than one hour,occasionally i engage myself into something,Sometimes i do sometimes i copy,very good,Surf the internet,g,4,"All A,B and C",never,Other,No,yes,No,No
2017/06/19 11:09:04 PM GMT+5:45,,48,6,CE,B,A,84.6,85.20%,1230,3.366,Yes,I study occasionally,less than one hour,more than one hour,occasionally i engage myself into something,Yes,average,Text book and reference books;Surf the internet,g,4,"All A,B and C",never,KU area,Yes,yes,No,No
2017/06/21 7:03:45 PM GMT+5:45,,55,6,CE,B,A,89.8,84,963,3.668,Yes,I study occasionally,more than one hour,more than one hour,yes,No,average,Text book and reference books;Surf the internet,b,3,Teachers' notes,never,Other,Yes,No,No,No
